Region,2020 w1,2020 w2,2020 w3,2020 w4,2020 w5,2020 w6,2020 w7,2020 w8,2020 w9,2020 w10,2020 w11,2020 w12,2020 w13,2020 w14,2020 w15,2020 w16,2020 w17,2020 w18,2020 w19,2020 w20,2020 w21,2020 w22,2020 w23,2020 w24,2020 w25,2020 w26,2020 w27,2020 w28,2020 w29,2020 w30,2020 w31,2020 w32,2020 w33,2020 w34,2020 w35,2020 w36,2020 w37,2020 w38,2020 w39,2020 w40,2020 w41,2020 w42,2020 w43,2020 w44,2020 w45,2020 w46,2020 w47,2020 w48,2020 w49,2020 w50,2020 w51,2020 w52,2020 w53,2021 w1,2021 w2,2021 w3,2021 w4,2021 w5,2021 w6,2021 w7,2021 w8,2021 w9,2021 w10,2021 w11,2021 w12,2021 w13,2021 w14,2021 w15,2021 w16,2021 w17,2021 w18,2021 w19,2021 w20,2021 w21,2021 w22,2021 w23,2021 w24,2021 w25,2021 w26,2021 w27,2021 w28,2021 w29,2021 w30,2021 w31,2021 w32,2021 w33,2021 w34,2021 w35,2021 w36,2021 w37,2021 w38,2021 w39,2021 w40,2021 w41,2021 w42,2021 w43,2021 w44,2021 w45,2021 w46,2021 w47,2021 w48,2021 w49,2021 w50,2021 w51,2021 w52,2021 w53,2022 w1,2022 w2,2022 w3,2022 w4,2022 w5,2022 w6,2022 w7,2022 w8,2022 w9,2022 w10,2022 w11,2022 w12,2022 w13,2022 w14,2022 w15,2022 w16,2022 w17,2022 w18,2022 w19,2022 w20,2022 w21,2022 w22,2022 w23,2022 w24,2022 w25,2022 w26,2022 w27,2022 w28,2022 w29,2022 w30,2022 w31,2022 w32,2022 w33,2022 w34,2022 w35,2022 w36,2022 w37,2022 w38,2022 w39,2022 w40,2022 w41,2022 w42,2022 w43,2022 w44,2022 w45,2022 w46,2022 w47,2022 w48,2022 w49,2022 w50,2022 w51,2022 w52,2022 w53,2023 w1,2023 w2,2023 w3,2023 w4,2023 w5,2023 w6,2023 w7,2023 w8,2023 w9,2023 w10,2023 w11,2023 w12,2023 w13,2023 w14,2023 w15,2023 w16,2023 w17,2023 w18,2023 w19,2023 w20,2023 w21,2023 w22,2023 w23,2023 w24,2023 w25,2023 w26,2023 w27,2023 w28,2023 w29,2023 w30,2023 w31,2023 w32,2023 w33,2023 w34,2023 w35,2023 w36,2023 w37,2023 w38,2023 w39,2023 w40,2023 w41,2023 w42,2023 w43,2023 w44,2023 w45,2023 w46,2023 w47,2023 w48,2023 w49,2023 w50,2023 w51,2023 w52
Blekinge,0,0,0,0,0,0,0,0,0,0,10,2,9,15,6,1,21,10,11,18,44,68,82,82,38,27,16,11,8,3,11,33,46,22,15,3,4,14,77,72,61,31,65,141,162,224,251,365,458,556,621,700,914,788,621,379,214,211,151,173,121,170,179,211,303,384,455,592,658,555,455,292,208,119,98,83,58,39,19,11,14,15,9,36,56,51,60,100,89,42,33,22,23,28,47,37,77,95,81,224,250,261,358,325,658,NaN,777,1632,2526,3864,2612,1016,333,262,199,137,141,90,40,39,28,41,23,8,22,19,9,10,13,32,91,64,35,33,80,70,97,75,59,46,32,81,65,62,40,48,65,29,41,33,43,44,68,139,221,240,253,172,NaN,104,64,39,25,20,6,7,6,5,4,5,7,13,15,12,19,11,9,4,8,5,3,3,5,3,4,3,0,4,3,3,3,1,3,1,7,6,2,3,9,8,7,16,21,34,25,35,14,27,20,24,12
Dalarna,0,0,0,0,0,0,0,0,0,0,5,17,70,102,159,138,198,115,164,85,84,83,99,75,60,167,178,58,52,30,27,48,37,42,56,57,79,164,88,101,84,161,213,444,621,691,630,797,839,1019,1135,974,987,714,608,511,342,307,332,380,482,580,790,925,1134,1097,1474,1134,1161,1021,897,744,490,261,204,102,55,41,38,22,28,13,36,70,113,116,170,182,244,216,123,109,59,95,122,130,77,59,116,202,222,655,805,790,1675,NaN,3924,4106,6714,8602,6165,2388,938,692,588,546,380,298,223,213,167,124,113,80,101,70,89,90,176,104,139,173,228,250,329,299,354,381,597,454,656,675,366,573,156,172,138,148,174,212,217,253,134,351,515,655,598,528,NaN,379,213,86,68,62,54,23,7,17,18,24,24,19,25,26,33,27,37,30,42,15,11,22,21,12,9,10,9,3,5,2,3,21,30,31,22,21,20,21,28,37,61,85,94,123,99,88,68,92,52,49,49
Gotland,0,0,0,0,0,0,0,0,0,0,2,3,6,3,2,3,12,22,10,3,5,11,10,21,20,27,13,14,19,24,21,34,22,8,3,1,3,5,3,16,15,14,33,70,186,232,174,231,320,234,197,121,115,152,83,57,30,20,27,15,33,64,63,69,107,99,154,182,129,79,105,96,67,28,22,15,7,12,5,10,9,25,93,134,101,51,55,26,31,12,7,3,4,5,3,1,7,15,63,62,46,46,27,47,382,NaN,543,1006,1386,1273,1067,397,125,99,86,50,22,27,20,13,21,13,13,12,7,1,5,4,3,4,17,26,24,39,32,26,49,34,22,7,13,19,33,23,20,13,8,6,8,4,4,16,22,35,32,96,101,71,NaN,22,13,4,9,26,6,2,2,2,5,4,2,8,1,6,3,8,4,3,5,3,5,6,7,3,0,0,2,0,1,0,2,22,4,8,4,8,5,4,3,7,9,27,26,38,24,30,15,17,18,15,10
Gävleborg,0,0,0,0,0,0,0,0,0,2,5,17,52,106,108,121,109,112,176,170,152,165,231,280,240,371,231,232,89,63,22,35,43,34,28,23,42,37,74,75,78,62,104,240,485,765,1017,1211,1400,1558,2506,1260,1433,1271,620,506,433,592,715,908,1172,1497,1391,1382,1506,1200,1604,1210,1010,776,906,691,448,217,152,68,27,13,51,28,27,40,51,78,153,91,120,140,140,103,57,109,163,132,117,200,155,195,260,377,445,706,636,592,1041,NaN,2545,3767,6971,7828,5133,2122,817,594,533,414,315,242,169,64,48,42,46,28,33,15,4,18,10,14,15,26,26,44,67,73,71,91,67,43,42,54,68,69,59,49,34,30,43,29,32,43,66,102,132,169,161,130,NaN,104,46,50,27,28,19,25,14,15,12,19,20,23,18,38,37,20,21,20,25,13,7,17,11,7,8,11,2,4,8,8,4,13,12,28,26,18,14,17,34,51,51,96,78,112,95,62,39,102,56,64,48
Halland,0,0,0,0,0,0,0,0,0,1,41,17,31,43,53,52,88,58,93,77,101,125,136,152,122,240,163,56,35,31,60,99,91,99,76,93,79,84,107,156,155,138,195,467,557,986,539,778,1064,1194,1200,1121,2025,2239,1502,1153,1128,1043,1173,1182,1400,1686,1615,1776,2206,1929,1711,1468,1079,859,777,552,490,232,348,125,58,54,77,63,76,118,160,156,191,253,224,214,239,214,115,91,105,79,91,94,103,190,251,569,579,608,780,1066,2880,NaN,5337,8199,14750,12156,7558,2542,851,685,478,370,338,242,216,168,135,112,116,87,54,50,45,62,83,96,184,175,183,220,287,260,310,293,247,188,172,133,151,163,90,218,136,172,182,192,180,118,152,261,459,576,650,528,NaN,359,212,111,95,111,80,66,49,56,50,45,44,24,41,46,70,50,29,71,52,20,22,13,16,17,14,14,18,7,15,15,13,12,20,30,26,22,26,14,31,40,53,98,108,160,135,143,90,163,159,141,96
Jämtland,0,0,0,0,0,0,0,0,0,0,21,34,26,11,42,81,63,81,80,102,97,94,81,74,88,54,37,21,22,19,9,18,18,2,12,22,9,18,27,56,124,106,60,53,138,278,446,355,323,355,411,345,402,404,269,248,215,251,222,265,331,367,370,434,358,404,618,590,520,494,519,369,290,136,75,34,6,10,9,28,7,12,45,39,68,86,58,70,57,62,32,39,25,24,37,47,16,31,40,115,91,214,262,331,1307,NaN,2474,4255,2887,3326,1758,946,323,277,242,166,120,96,58,51,35,27,47,36,29,21,25,18,15,22,59,54,47,70,86,137,263,154,104,66,36,47,42,42,24,57,43,66,56,40,37,33,61,74,120,145,138,107,NaN,91,51,31,21,25,10,8,2,8,6,11,12,12,18,3,6,9,6,10,9,9,4,8,8,4,2,0,0,2,0,7,5,7,10,6,12,4,14,17,17,18,34,47,80,58,33,33,15,25,35,26,18
Jönköping,0,0,0,0,0,1,0,0,1,2,37,15,56,133,105,153,182,160,156,168,162,224,218,636,767,786,339,177,105,60,63,81,68,62,32,78,132,105,96,114,198,274,271,892,1078,1279,1297,1063,1061,1215,1427,1167,1401,1396,1044,1021,1036,941,1065,1079,1196,1136,1400,1655,1731,1547,1620,1325,1107,1170,1204,801,679,263,532,211,133,101,81,68,44,49,58,106,142,232,173,225,229,214,142,150,81,112,136,125,90,129,133,202,374,582,666,575,1602,NaN,2886,6280,8161,9436,5103,1641,625,440,343,287,214,189,151,151,67,74,66,41,28,40,21,43,42,39,105,127,146,150,177,176,198,233,193,151,166,217,228,179,172,129,151,126,149,123,138,129,145,214,259,419,403,306,NaN,189,131,97,59,58,51,46,31,43,62,49,54,54,50,61,63,45,44,26,18,23,16,17,12,7,12,4,4,13,7,21,7,29,25,33,24,17,41,19,39,39,33,82,114,159,145,155,140,136,109,97,104
Kalmar,0,0,0,0,0,0,0,0,0,0,7,5,19,21,19,28,43,40,43,30,24,73,56,71,71,63,85,34,14,17,16,14,26,41,24,9,8,11,11,14,21,37,102,187,318,462,449,658,618,729,846,764,920,1079,725,559,429,350,300,439,545,625,614,852,1281,1126,1375,1345,1195,1219,1199,768,505,215,247,105,96,47,22,22,23,44,47,46,79,138,128,147,129,102,41,76,66,68,144,176,201,210,233,323,335,497,579,464,1010,NaN,1822,2747,5522,7011,6779,3261,851,628,486,436,284,185,154,82,58,60,52,59,38,24,49,35,14,33,37,76,99,164,149,138,132,113,107,105,105,108,186,168,273,178,153,139,150,134,122,101,143,205,309,383,443,259,NaN,260,161,90,57,43,23,21,26,19,19,24,40,55,56,56,58,29,31,22,15,12,5,5,3,3,1,2,1,1,1,4,10,9,7,4,7,11,13,8,2,35,19,52,100,104,139,125,98,99,62,41,28
Kronoberg,0,0,0,0,0,0,0,0,0,0,15,3,15,21,47,75,88,91,147,129,115,105,81,73,34,25,10,19,27,19,28,63,90,46,43,38,60,88,112,76,69,121,312,466,706,724,555,623,541,711,938,746,987,1037,683,628,603,464,509,453,343,310,226,320,327,455,705,805,988,1046,1081,821,450,276,187,172,101,84,56,26,37,56,34,56,54,81,136,170,175,90,53,55,48,97,97,48,64,59,77,78,164,172,217,349,932,NaN,2153,2929,5641,5669,3536,1261,542,368,346,295,286,196,122,100,68,49,36,19,23,35,17,22,24,40,42,50,85,85,103,131,141,114,136,101,118,105,82,119,123,94,93,79,120,115,88,82,132,174,300,405,361,227,NaN,135,110,52,62,86,68,35,25,19,11,13,20,26,26,23,30,16,11,15,11,13,10,9,11,11,12,6,3,1,3,1,1,5,6,7,12,15,6,11,12,9,18,44,66,111,96,104,76,72,65,45,37
Norrbotten,0,0,0,0,0,0,0,0,0,0,6,14,29,35,54,55,41,36,30,38,22,56,88,183,256,341,110,101,45,38,25,24,24,7,10,5,7,15,28,74,96,92,125,225,537,588,736,904,678,715,561,430,515,539,636,578,463,458,485,740,825,1117,735,980,650,945,1051,1086,918,946,1047,1019,1007,620,592,355,450,279,127,41,49,44,101,57,67,61,15,46,79,47,104,130,189,152,169,221,164,163,85,122,139,202,256,336,856,NaN,1609,2307,3312,3944,2965,1422,554,562,375,290,235,202,162,111,78,62,67,34,37,44,49,37,30,72,47,65,76,123,93,108,132,145,138,77,72,79,73,83,74,76,57,103,108,112,113,123,79,104,100,165,106,80,NaN,57,68,45,19,14,17,17,13,23,26,26,23,22,22,31,25,21,20,33,31,20,24,18,15,3,9,4,0,4,3,7,3,4,5,5,7,15,11,19,10,15,25,31,59,73,85,62,28,32,21,17,26
Skåne,0,0,0,0,0,0,0,0,0,22,177,32,46,70,99,100,131,181,200,198,233,254,251,303,413,310,128,124,154,141,155,184,248,299,287,198,218,291,260,413,365,633,1318,2232,2718,4574,4334,5687,7247,9157,9336,8964,9193,10055,7137,5225,4099,3431,3156,3223,2903,2868,2516,2959,3526,3403,4106,3895,3801,4257,4284,3621,2493,772,1344,567,344,248,203,177,288,404,464,485,640,921,1001,1145,1029,753,475,402,346,399,601,631,645,908,1074,1894,2524,3171,4439,5536,11119,NaN,17222,22251,28561,31048,23408,8585,2290,1723,1102,933,827,610,413,354,290,206,181,161,149,124,89,81,126,202,328,421,489,468,545,476,584,598,514,447,416,408,363,344,373,393,364,333,346,347,307,292,416,774,1214,1564,1918,1378,NaN,846,472,198,159,204,149,109,102,105,114,96,139,87,61,85,63,72,60,76,69,64,41,40,41,18,14,9,12,20,21,21,29,39,46,61,70,77,49,60,54,90,109,133,177,302,280,306,305,380,402,296,220
Stockholm,0,0,0,0,0,0,0,0,4,141,232,410,964,1349,1417,1409,1430,1264,1206,1136,902,1191,1201,1375,1723,1609,1130,482,394,329,295,363,416,353,239,253,305,537,923,1252,1502,1655,2957,5746,7692,9488,9521,11127,10461,11297,10441,7457,6276,5802,3755,3546,3506,3222,3997,5076,6328,6666,7640,8242,9017,9740,9372,9523,8010,8343,7627,5592,3388,1477,1424,710,430,319,383,450,646,1031,1258,1752,2046,2083,1938,2079,2194,1761,1280,1329,1312,1144,1487,1587,1361,1518,1794,3275,3398,5024,7332,8927,17913,NaN,34986,43584,63045,48972,26487,8034,3547,2864,2167,1573,1657,1683,1036,817,563,554,659,516,527,732,390,311,739,646,927,1200,1045,1537,1508,1312,1234,1616,1791,1634,1256,1040,1256,1240,10142,655,509,489,536,517,634,586,762,1057,1347,1835,1797,1265,NaN,773,568,335,241,189,158,130,111,145,162,180,214,193,225,252,258,213,249,215,194,152,139,128,113,84,77,65,38,46,65,43,73,92,142,149,189,202,204,162,176,207,260,391,593,650,634,686,680,725,808,619,462
Södermanland,0,0,0,0,0,0,0,0,0,0,21,43,107,295,208,210,211,187,131,83,74,89,97,142,103,174,73,67,45,18,9,12,16,9,10,2,16,23,39,38,54,99,136,395,615,719,795,609,565,707,760,744,799,836,504,412,331,321,358,458,596,694,729,988,1176,1344,1492,1275,1039,1001,893,743,449,300,163,72,41,29,39,37,37,32,98,89,116,116,102,171,158,84,70,117,140,168,197,178,120,136,136,223,369,404,445,348,1257,NaN,2967,5425,8938,6571,3426,1592,866,555,426,390,348,257,233,181,116,119,99,82,67,44,43,68,80,71,107,179,156,206,248,290,307,332,285,164,145,249,243,182,178,171,135,100,140,141,156,169,242,437,508,606,598,384,NaN,227,134,67,45,29,24,21,18,8,12,19,15,29,38,43,34,44,30,37,38,28,19,11,12,8,10,10,5,7,8,6,12,10,16,20,25,19,15,14,12,25,24,63,92,119,105,102,87,167,94,82,73
Uppsala,0,0,0,0,0,0,0,0,2,5,33,37,84,147,158,200,212,188,248,180,195,245,309,247,317,400,184,61,60,23,41,53,51,64,35,34,75,69,105,226,285,505,349,883,1015,1357,1430,1398,1397,1513,1632,1204,1362,1121,690,694,560,561,710,725,730,792,912,1247,1429,1702,1802,1764,1639,1356,1198,789,490,274,399,120,95,36,55,60,52,70,86,126,157,182,169,175,196,203,140,156,198,142,180,292,175,222,278,417,674,594,1172,810,1603,NaN,3428,6116,7858,11977,4960,2780,738,531,373,371,288,250,267,215,154,96,105,84,64,78,75,59,101,180,157,241,212,209,219,199,221,296,197,177,196,204,210,200,145,155,142,124,149,104,213,252,285,367,437,661,529,356,NaN,234,159,77,35,49,56,36,22,31,46,32,38,38,38,35,35,38,25,37,15,13,14,25,20,10,5,6,1,6,9,28,14,21,16,22,38,31,38,16,22,33,32,77,91,137,130,121,62,122,109,79,70
Värmland,0,0,0,0,0,0,0,0,0,11,21,8,10,6,23,25,33,70,64,53,83,126,110,115,84,93,45,20,9,15,14,57,46,27,12,27,20,27,22,50,34,80,116,202,359,419,465,468,552,633,646,500,613,433,345,266,307,349,342,410,383,576,638,756,859,902,1159,1066,941,784,709,417,312,213,456,465,325,236,186,58,48,72,73,156,140,122,128,129,113,54,66,33,38,34,78,112,126,174,209,232,318,508,588,908,1675,NaN,3002,4096,8134,9851,6221,2780,1256,870,506,580,393,368,248,183,162,143,97,83,63,65,45,52,50,56,104,142,156,180,200,239,260,274,213,169,199,204,254,183,182,205,162,144,111,112,127,164,205,244,496,568,543,491,NaN,245,195,78,58,54,41,18,13,19,35,28,59,51,67,68,41,69,43,39,28,28,37,21,15,15,7,2,8,5,10,7,8,22,22,16,20,29,39,33,35,56,117,149,201,223,231,186,127,217,148,109,83
Västerbotten,0,0,0,0,0,0,0,0,0,0,13,16,18,74,58,56,59,35,35,52,49,35,35,40,51,61,34,13,24,8,18,8,42,14,13,7,23,42,96,54,58,50,71,250,636,686,762,896,808,986,935,646,742,662,396,388,437,796,1033,1269,1153,1063,784,792,624,467,647,664,654,689,681,522,441,234,181,113,60,41,52,29,27,47,43,245,297,202,155,114,196,243,288,254,188,201,158,197,184,180,139,217,234,274,322,323,734,NaN,2582,3260,4941,4905,4676,2133,1262,1140,955,669,366,234,143,163,113,59,59,54,52,70,30,43,56,55,70,116,90,153,203,276,302,250,224,119,137,182,232,184,204,172,170,129,181,158,195,191,173,262,299,247,212,139,NaN,125,86,52,26,34,17,13,20,33,23,23,30,31,45,44,49,57,28,35,36,20,10,9,24,13,10,10,5,6,4,10,12,11,6,2,9,4,12,18,18,28,34,88,108,159,157,101,47,82,68,46,29
Västernorrland,0,0,0,0,0,0,0,0,0,0,11,3,22,33,36,34,67,67,77,98,143,135,154,118,154,157,162,118,70,59,37,40,21,27,10,6,16,18,25,30,38,41,56,129,332,589,906,1205,1175,1209,1300,821,1000,748,617,520,512,571,470,400,381,422,513,643,812,1045,1425,1570,1512,1255,1074,644,417,245,173,75,31,21,30,19,12,27,50,58,69,66,70,72,62,64,31,29,52,84,82,71,77,81,117,242,353,621,417,402,805,NaN,1426,3380,4026,6169,3170,1491,569,469,428,328,284,289,167,106,87,116,95,64,41,44,37,23,29,62,45,100,90,195,178,233,214,188,135,77,64,101,114,116,157,142,79,146,130,123,208,169,165,198,282,267,241,309,NaN,125,163,65,43,32,25,21,9,12,25,14,20,30,47,45,52,31,33,37,25,24,22,21,11,3,7,6,6,4,6,5,12,11,11,10,16,21,25,15,47,78,112,104,93,158,130,126,100,91,76,60,88
Västmanland,0,0,0,0,0,0,0,0,0,0,5,16,29,110,190,165,171,120,83,116,115,144,173,282,268,212,177,100,50,35,39,39,41,36,21,32,50,56,198,123,116,120,180,468,831,1086,1263,1336,1331,1285,1162,1030,867,1081,572,540,417,345,341,369,351,469,550,597,764,834,923,922,823,745,1010,646,402,222,153,128,79,51,28,19,16,27,76,156,192,212,215,243,210,195,187,237,212,219,411,491,372,381,485,767,780,946,1113,954,1323,NaN,2791,5915,7984,9897,5345,2257,889,656,487,349,328,201,157,155,126,67,66,36,37,32,31,27,34,52,92,136,151,205,154,163,180,209,140,116,148,123,99,86,109,80,99,96,126,156,131,120,119,205,308,353,404,328,NaN,200,105,65,27,21,25,38,15,14,20,31,15,27,24,21,29,26,40,31,22,24,23,22,16,18,18,12,9,4,4,3,2,13,17,18,24,23,20,15,19,28,35,71,124,132,114,96,66,101,87,75,48
Västra Götaland,0,0,0,0,0,0,0,0,6,24,146,78,116,240,444,421,611,623,851,828,732,873,2140,2443,1828,1935,914,364,320,336,583,670,580,397,233,296,300,337,489,402,537,706,1372,2983,4065,4189,4578,4361,4468,6782,8222,6431,8193,6780,6001,4256,4155,4147,4720,4763,5943,4887,5224,6173,7500,6648,6372,6936,5448,5305,5091,4417,3641,1141,1930,612,348,234,292,250,372,444,499,579,807,1016,1347,1344,1823,1401,777,623,626,594,724,904,729,650,1068,1649,1633,2043,2799,3732,7658,NaN,26773,22488,44779,48046,46390,7885,2412,2582,1379,1203,862,727,587,422,414,298,227,273,178,190,128,150,137,183,243,446,547,661,725,585,613,644,684,475,392,444,447,374,499,504,406,361,361,339,422,455,462,814,1361,2068,1953,1070,NaN,739,484,230,170,159,119,104,91,94,134,170,192,204,139,222,185,167,144,116,78,90,64,56,50,25,33,24,27,21,41,31,30,41,57,62,71,43,67,90,100,114,169,193,290,417,383,446,343,391,318,296,202
Orebro,0,0,0,0,0,0,0,0,0,4,5,33,48,84,227,224,247,238,218,176,172,119,180,133,118,88,66,47,28,22,40,51,45,32,13,86,75,85,59,158,258,331,608,1000,1225,1220,1219,887,741,788,818,811,867,840,615,582,424,377,388,439,567,737,695,886,1206,1547,1693,1462,1222,1199,1080,954,641,300,179,109,42,41,59,36,23,41,66,81,147,176,180,177,302,187,141,171,172,155,143,172,212,323,348,512,613,697,768,669,1789,NaN,3459,6199,11108,12237,9587,3928,1494,1019,796,499,440,389,181,342,223,163,126,134,84,83,97,62,90,137,175,195,211,308,382,369,422,392,343,241,264,324,319,323,272,286,315,303,278,270,273,209,268,432,632,833,838,621,NaN,327,179,109,87,58,50,26,25,17,21,23,28,36,57,36,46,59,41,39,27,18,26,19,11,15,9,8,5,8,3,6,5,12,18,27,27,28,31,20,14,18,41,88,110,127,164,130,69,145,113,83,81
Östergötland,0,0,0,0,0,0,0,0,0,0,27,124,202,333,286,201,186,133,130,130,155,65,287,278,312,316,184,60,51,26,43,88,81,66,28,62,71,54,80,142,130,364,512,1000,1126,759,574,595,786,982,1076,887,1708,1469,1512,1154,1014,848,787,847,899,1015,972,1146,1365,1567,1383,2223,2177,2210,1843,1420,865,429,238,156,62,47,59,60,48,51,116,109,187,208,246,273,282,219,150,105,94,144,179,204,112,111,120,229,274,436,527,445,1180,NaN,2720,4932,9151,12373,9449,3925,900,696,525,391,380,273,206,169,120,104,85,79,60,39,36,43,50,70,113,113,137,144,193,152,160,211,334,187,212,229,265,248,237,204,145,152,107,112,143,129,159,277,439,553,347,244,NaN,182,122,66,60,31,42,47,45,46,67,43,52,34,35,44,35,38,43,25,29,19,16,10,15,11,5,5,1,7,8,5,9,13,23,29,28,42,24,19,16,28,43,57,105,127,140,143,123,106,116,106,80
